EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Hail,C,37,CASS,,22-SEP-55 16:10:00,CST,22-SEP-55 16:10:00,0,0,0,0,0,0,,1.50,,,,,0,0,,,,,0,,,0,,,38.70,-94.08,,
Tornado,C,77,KALAMAZOO,,28-MAY-55 08:00:00,CST,28-MAY-55 08:00:00,0,0,0,0,250K,0,,0,,,,F2,36.2,100,,,,,0,,,0,,,42.12,-85.63,42.42,-85.05
Thunderstorm Wind,C,21,CHILTON,,10-JUN-55 15:00:00,CST,10-JUN-55 15:00:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,33.00,-86.78,,
Hail,C,3,BALDWIN,,19-JUL-55 13:30:00,CST,19-JUL-55 13:30:00,0,0,0,0,0,0,,.75,,,,,0,0,,,,,0,,,0,,,30.50,-87.90,,
Thunderstorm Wind,C,73,JEFFERSON,,28-JUL-55 15:00:00,CST,28-JUL-55 15:00:00,0,0,0,0,0,0,,52,,,,,0,0,,,,,0,,,0,,,33.58,-86.78,,
Tornado,C,45,DALE,,16-OCT-55 08:00:00,CST,16-OCT-55 08:00:00,0,0,0,0,2.5K,0,,0,,,,,16,100,,,,,0,,,0,,,31.33,-85.80,31.45,-85.57
Tornado,C,31,COFFEE,,16-OCT-55 18:15:00,CST,16-OCT-55 18:15:00,0,0,0,0,25K,0,,0,,,,F1,14,167,,,,,0,,,0,,,31.35,-86.02,31.32,-85.78
Tornado,C,31,COFFEE,,16-OCT-55 18:40:00,CST,16-OCT-55 18:40:00,0,0,0,0,2.5M,0,,0,,,,F2,1.9,100,,,,,0,,,0,,,31.32,-85.83,31.32,-85.80
Tornado,C,45,DALE,,16-OCT-55 18:40:00,CST,16-OCT-55 18:40:00,5,0,0,0,2.5M,0,,0,,,,F2,14.5,100,,,,,0,,,0,,,31.32,-85.80,31.42,-85.58
Thunderstorm Wind,C,73,JEFFERSON,,28-OCT-55 16:40:00,CST,28-OCT-55 16:40:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,33.58,-86.78,,
Hail,C,117,SHELBY,,28-OCT-55 16:45:00,CST,28-OCT-55 16:45:00,0,0,0,0,0,0,,2.00,,,,,0,0,,,,,0,,,0,,,33.28,-86.78,,
