EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,149,WASHITA,,28-APR-50 14:45:00,CST,28-APR-50 14:45:00,0,0,0,0,250K,0,,0,,,,F3,3.4,400,,,,,0,,,0,,,35.12,-99.20,35.17,-99.20
Tornado,C,93,COMANCHE,,29-APR-50 15:30:00,CST,29-APR-50 15:30:00,0,0,0,0,25K,0,,0,,,,F1,11.5,200,,,,,0,,,0,,,31.90,-98.60,31.73,-98.60
Tornado,C,77,LEHIGH,,05-JUL-50 18:00:00,CST,05-JUL-50 18:00:00,2,0,0,0,25K,0,,0,,,,F2,12.9,33,,,,,0,,,0,,,40.58,-75.70,40.65,-75.47
Tornado,C,43,DAUPHIN,,05-JUL-50 18:30:00,CST,05-JUL-50 18:30:00,0,0,0,0,2.5K,0,,0,,,,F2,0,13,,,,,0,,,0,,,40.60,-76.75,,
Tornado,C,39,CRAWFORD,,24-JUL-50 14:40:00,CST,24-JUL-50 14:40:00,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,41.63,-79.68,,
Tornado,C,17,BUCKS,,29-AUG-50 16:00:00,CST,29-AUG-50 16:00:00,0,0,0,0,2.5K,0,,0,,,,F1,1,33,,,,,0,,,0,,,40.22,-75.00,,
Tornado,C,71,LANCASTER,,04-NOV-50 17:00:00,CST,04-NOV-50 17:00:00,1,0,0,0,250K,0,,0,,,,F3,4.7,100,,,,,0,,,0,,,40.20,-76.12,40.27,-76.07
Tornado,C,11,BERKS,,04-NOV-50 17:30:00,CST,04-NOV-50 17:30:00,0,0,0,0,250K,0,,0,,,,F3,11.2,100,,,,,0,,,0,,,40.27,-76.07,40.40,-75.93
Tornado,C,63,HUGHES,,15-SEP-50 17:45:00,CST,15-SEP-50 17:45:00,6,0,0,0,250K,0,,0,,,,F2,6.8,100,,,,,0,,,0,,,35.00,-96.25,35.07,-96.17
Tornado,C,121,PITTSBURG,,16-SEP-50 01:30:00,CST,16-SEP-50 01:30:00,0,0,0,0,.25K,0,,0,,,,F0,0,33,,,,,0,,,0,,,34.83,-95.85,,
Tornado,C,25,CIMARRON,,01-OCT-50 21:00:00,CST,01-OCT-50 21:00:00,0,0,0,0,25K,0,,0,,,,F1,15.8,33,,,,,0,,,0,,,36.73,-102.52,36.88,-102.30
Tornado,C,129,NUCKOLLS,,22-JUN-50 21:00:00,CST,22-JUN-50 21:00:00,0,0,0,0,0K,0,,0,,,,F0,1.9,33,,,,,0,,,0,,,40.18,-98.03,40.20,-97.98
Tornado,C,109,OKLAHOMA,,27-FEB-50 10:20:00,CST,27-FEB-50 10:20:00,0,0,0,0,25K,0,,0,,,,F2,2,50,,,,,0,,,0,,,35.55,-97.60,,
Tornado,C,121,PITTSBURG,,27-MAR-50 03:00:00,CST,27-MAR-50 03:00:00,0,0,0,0,2.5K,0,,0,,,,F2,.1,77,,,,,0,,,0,,,34.85,-95.75,,
Tornado,C,81,LINCOLN,,02-APR-50 18:00:00,CST,02-APR-50 18:00:00,0,0,0,0,25K,0,,0,,,,F2,1,100,,,,,0,,,0,,,35.82,-97.02,,
Tornado,C,143,TULSA,,03-APR-50 16:15:00,CST,03-APR-50 16:15:00,0,0,0,0,2.5K,0,,0,,,,F1,1,33,,,,,0,,,0,,,36.13,-95.83,,
Tornado,C,75,KIOWA,,28-APR-50 14:17:00,CST,28-APR-50 14:17:00,1,0,1,0,250K,0,,0,,,,F3,9.4,400,,,,,0,,,0,,,34.88,-99.28,35.00,-99.20
Tornado,C,75,KIOWA,,28-APR-50 14:35:00,CST,28-APR-50 14:35:00,0,0,0,0,250K,0,,0,,,,F3,8,400,,,,,0,,,0,,,35.00,-99.20,35.12,-99.20
Tornado,C,63,HUGHES,,28-APR-50 19:05:00,CST,28-APR-50 19:05:00,32,0,5,0,250K,0,,0,,,,F4,4.5,200,,,,,0,,,0,,,35.08,-96.40,35.13,-96.35
Tornado,C,29,COAL,,28-APR-50 19:30:00,CST,28-APR-50 19:30:00,0,0,0,0,25K,0,,0,,,,F2,.8,100,,,,,0,,,0,,,34.55,-96.20,,
Tornado,C,39,CUSTER,,04-MAY-50 21:30:00,CST,04-MAY-50 21:30:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.58,-99.17,,
Tornado,C,9,BECKHAM,,04-MAY-50 21:30:00,CST,04-MAY-50 21:30:00,0,0,0,0,25K,0,,0,,,,F2,5.6,293,,,,,0,,,0,,,35.25,-99.55,35.32,-99.50
Tornado,C,153,WOODWARD,,04-MAY-50 21:45:00,CST,04-MAY-50 21:45:00,0,0,0,0,250K,0,,0,,,,F2,1,100,,,,,0,,,0,,,36.57,-99.57,,
Tornado,C,45,ELLIS,,07-MAY-50 18:30:00,CST,07-MAY-50 18:30:00,0,0,0,0,0K,0,,0,,,,F1,0,33,,,,,0,,,0,,,36.30,-99.80,,
Tornado,C,119,PAYNE,,07-MAY-50 23:00:00,CST,07-MAY-50 23:00:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,36.00,-97.00,,
Tornado,C,73,KINGFISHER,,07-MAY-50 23:00:00,CST,07-MAY-50 23:00:00,3,0,0,0,25K,0,,0,,,,F2,4.3,33,,,,,0,,,0,,,36.12,-97.83,36.17,-97.78
Tornado,C,121,RANKIN,,27-MAR-50 08:00:00,CST,27-MAR-50 08:00:00,0,0,0,0,250K,0,,0,,,,F2,50.3,50,,,,,0,,,0,,,32.30,-90.12,32.98,-89.82
Tornado,C,121,RANKIN,,27-MAR-50 08:05:00,CST,27-MAR-50 08:05:00,0,0,0,0,250K,0,,0,,,,F2,25.7,50,,,,,0,,,0,,,32.30,-90.17,32.48,-89.78
Tornado,C,25,CLAY,,27-MAR-50 08:45:00,CST,27-MAR-50 08:45:00,0,0,0,0,0K,0,,0,,,,F2,4.7,33,,,,,0,,,0,,,33.67,-88.78,33.72,-88.73
Tornado,C,141,TISHOMINGO,,27-MAR-50 11:00:00,CST,27-MAR-50 11:00:00,2,0,0,0,25K,0,,0,,,,F1,.1,10,,,,,0,,,0,,,34.73,-88.27,,
Tornado,C,91,MARION,,29-APR-50 12:00:00,CST,29-APR-50 12:00:00,0,0,0,0,250K,0,,0,,,,F2,11.3,100,,,,,0,,,0,,,31.27,-89.83,31.38,-89.70
Tornado,C,47,BROOKS,,26-JAN-50 18:00:00,CST,26-JAN-50 18:00:00,2,0,0,0,0K,0,,0,,,,F2,4.7,133,,,,,0,,,0,,,26.88,-98.12,26.88,-98.05
Tornado,C,201,HARRIS,,11-FEB-50 13:50:00,CST,11-FEB-50 13:50:00,12,0,1,0,25K,0,,0,,,,F3,12,1000,,,,,0,,,0,,,29.67,-95.05,29.83,-95.00
Tornado,C,423,SMITH,,11-FEB-50 21:00:00,CST,11-FEB-50 21:00:00,5,0,0,0,250K,0,,0,,,,F2,4.6,100,,,,,0,,,0,,,32.35,-95.20,32.42,-95.20
Tornado,C,67,CASS,,11-FEB-50 23:55:00,CST,11-FEB-50 23:55:00,6,0,0,0,250K,0,,0,,,,F2,4.5,67,,,,,0,,,0,,,32.98,-94.63,33.00,-94.70
Tornado,C,37,BOWIE,,12-FEB-50 00:30:00,CST,12-FEB-50 00:30:00,8,0,1,0,25K,0,,0,,,,F2,8,833,,,,,0,,,0,,,33.33,-94.42,33.45,-94.42
Tornado,C,143,ERATH,,12-FEB-50 01:15:00,CST,12-FEB-50 01:15:00,0,0,0,0,25K,0,,0,,,,F1,2.3,233,,,,,0,,,0,,,32.08,-98.35,32.10,-98.33
Tornado,C,293,LIMESTONE,,12-FEB-50 06:10:00,CST,12-FEB-50 06:10:00,0,0,0,0,25K,0,,0,,,,F2,3.4,100,,,,,0,,,0,,,31.52,-96.55,31.57,-96.55
Tornado,C,419,SHELBY,,12-FEB-50 11:57:00,CST,12-FEB-50 11:57:00,32,0,0,0,250K,0,,0,,,,F1,7.7,100,,,,,0,,,0,,,31.80,-94.20,31.88,-94.12
Tornado,C,419,SHELBY,,12-FEB-50 12:00:00,CST,12-FEB-50 12:00:00,15,0,3,0,250K,0,,0,,,,F3,1.9,50,,,,,0,,,0,,,31.80,-94.20,31.80,-94.18
Tornado,C,59,CALLAHAN,,28-APR-50 18:00:00,CST,28-APR-50 18:00:00,5,0,5,0,250K,0,,0,,,,F4,1.3,233,,,,,0,,,0,,,32.42,-99.50,32.42,-99.48
Tornado,C,357,OCHILTREE,,04-MAY-50 20:30:00,CST,04-MAY-50 20:30:00,13,0,1,0,250K,0,,0,,,,F2,1.9,50,,,,,0,,,0,,,36.40,-100.80,36.42,-100.77
Tornado,C,157,FORT BEND,,14-MAY-50 16:00:00,CST,14-MAY-50 16:00:00,0,0,0,0,2.5K,0,,0,,,,F1,1,100,,,,,0,,,0,,,29.53,-95.45,,
Tornado,C,259,KENDALL,,15-MAY-50 00:01:00,CST,15-MAY-50 00:01:00,0,0,0,0,25K,0,,0,,,,F2,18,33,,,,,0,,,0,,,29.78,-98.83,29.67,-98.57
Tornado,C,37,QUAY,,11-JUL-50 17:00:00,CST,11-JUL-50 17:00:00,0,0,0,0,.25K,0,,0,,,,F1,3.8,500,,,,,0,,,0,,,35.28,-103.52,35.33,-103.48
Tornado,C,53,SOCORRO,,02-AUG-50 12:30:00,CST,02-AUG-50 12:30:00,0,0,0,0,25K,0,,0,,,,F1,7.9,100,,,,,0,,,0,,,34.12,-107.23,34.02,-107.30
Tornado,C,63,JEFFERSON,,01-MAY-50 05:00:00,CST,01-MAY-50 05:00:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.73,-91.07,,
